price,nox,rooms,stratio
24000,5.38,6.57,15.3
21599,4.69,6.42,17.8
34700,4.69,7.18,17.8
33400,4.58,7,18.7
36199,4.58,7.15,18.7
28701,4.58,6.43,18.7
22900,5.24,6.01,15.2
27100,5.24,6.17,15.2
16500,5.24,5.63,15.2
18900,5.24,6,15.2
15000,5.24,6.38,15.2
18900,5.24,6.01,15.2
21700,5.24,5.89,15.2
20400,5.38,5.95,21
18200,5.38,6.1,21
19900,5.38,5.83,21
23100,5.38,5.93,21
17500,5.38,5.99,21
20200,5.38,5.46,21
18200,5.38,5.73,21
13600,5.38,5.57,21
19600,5.38,5.96,21
15200,5.38,6.14,21
14500,5.38,5.81,21
15600,5.38,5.92,21
13900,5.38,5.6,21
16600,5.38,5.81,21
14800,5.38,6.05,21
18400,5.38,6.49,21
21000,5.38,6.67,21
12700,5.38,5.69,21
14500,5.38,6.07,21
13200,5.38,5.95,21
13100,5.38,5.7,21
13500,5.38,6.1,21
18900,4.99,5.93,19.2
20000,4.99,5.84,19.2
13668,4.99,5.85,19.2
24701,4.99,5.97,19.2
30801,4.28,6.59,18.3
34899,4.28,7.02,18.3
26601,4.48,6.77,17.9
25301,4.48,6.17,17.9
24701,4.48,6.21,17.9
21200,4.48,6.07,17.9
19300,4.48,5.68,17.9
20000,4.48,5.79,17.9
16600,4.48,6.03,17.9
14400,4.48,5.4,17.9
19400,4.48,5.6,17.9
19700,4.39,5.96,16.8
20500,4.39,6.11,16.8
22620,4.39,6.51,16.8
23400,4.39,6,21.1
18900,4.1,5.89,17.9
35401,4.03,7.25,17.3
24701,4.1,6.38,15.1
32562,4.11,6.82,19.7
23300,4.53,6.14,19.7
19600,4.53,5.93,19.7
18700,4.53,5.74,19.7
16000,4.53,5.97,19.7
22199,4.53,6.46,19.7
24999,4.53,6.76,19.7
33001,4.16,7.1,18.6
23501,3.98,6.29,16.1
19400,3.98,5.79,16.1
22000,4.09,5.88,18.9
17400,4.09,5.59,18.9
20900,4.09,5.88,18.9
24200,4.13,6.42,19.2
21700,4.13,5.96,19.2
22800,4.13,6.06,19.2
23400,4.13,6.24,19.2
24101,4.37,6.27,18.7
21400,4.37,6.29,18.7
20000,4.37,6.28,18.7
20800,4.37,6.14,18.7
21200,4.37,6.23,18.7
20300,4.37,5.87,18.7
28001,4.26,6.73,19
23899,4.26,6.62,19
24800,4.26,6.3,19
22900,4.26,6.17,19
23899,4.49,6.39,18.5
26601,4.49,6.63,18.5
22501,4.49,6.01,18.5
22199,4.49,6.12,18.5
23600,4.89,7.01,17.8
28701,4.89,7.08,17.8
22600,4.89,6.42,17.8
22000,4.89,6.4,17.8
22900,4.64,6.44,18.2
24999,4.64,6.21,18.2
20600,4.64,6.25,18.2
28399,4.45,6.62,18
21400,4.45,6.16,18
38700,4.45,8.07,18
43800,4.45,7.82,18
33200,4.45,7.42,18
27499,5.2,6.73,20.9
26500,5.2,6.78,20.9
18600,5.2,6.4,20.9
19300,5.2,6.14,20.9
20100,5.2,6.17,20.9
19500,5.2,5.85,20.9
19500,5.2,5.84,20.9
20400,5.2,6.13,20.9
19800,5.2,6.47,20.9
19400,5.2,6.23,20.9
21700,5.47,6.19,20.9
22800,5.47,6.71,17.8
18800,5.47,5.91,17.8
18700,5.47,6.09,17.8
18500,5.47,6.25,17.8
18300,5.47,5.93,17.8
21200,5.47,6.18,17.8
19200,5.47,6.02,17.8
20400,5.47,5.87,17.8
19300,5.81,5.73,17.8
22000,5.81,5.87,19.1
20300,5.81,6,19.1
20500,5.81,5.96,19.1
17300,5.81,5.86,19.1
18800,5.81,5.88,19.1
21400,5.81,5.99,19.1
15700,6.24,5.61,19.1
16200,6.24,5.69,21.2
18000,6.24,6.43,21.2
14300,6.24,5.64,21.2
19200,6.24,6.46,21.2
19600,6.24,6.33,21.2
23001,6.24,6.37,21.2
18400,6.24,5.82,21.2
15600,6.24,5.76,21.2
18100,6.24,6.33,21.2
17400,6.24,5.94,21.2
17100,6.24,6.45,21.2
13300,6.24,5.86,21.2
17800,6.24,6.15,21.2
14000,6.24,6.17,21.2
14400,6.24,5.02,21.2
13400,8.71,5.4,14.7
15600,8.71,5.47,14.7
11800,8.71,4.9,14.7
13800,8.71,6.13,14.7
15600,8.71,5.63,14.7
14600,8.71,4.93,14.7
17794,8.71,5.19,14.7
15400,8.71,5.6,14.7
21500,8.71,6.12,14.7
19600,8.71,5.4,14.7
15300,8.71,5.01,14.7
19400,8.71,5.71,14.7
17000,8.71,6.13,14.7
15600,8.71,6.15,14.7
13100,8.71,5.27,14.7
41299,6.05,6.94,14.7
24299,6.05,6.07,14.7
23300,8.71,6.51,14.7
27000,6.05,6.25,14.7
50001,6.05,7.49,14.7
50001,6.05,7.8,14.7
50001,6.05,8.37,14.7
22700,6.05,5.85,14.7
24999,6.05,6.1,14.7
50001,6.05,7.93,14.7
23799,6.05,5.88,14.7
23799,6.05,6.32,14.7
22299,6.05,6.4,14.7
17400,6.05,5.87,14.7
19100,6.05,5.88,14.7
23100,5.1,5.57,16.6
23600,5.1,6.42,16.6
22600,5.1,5.86,16.6
29401,5.1,6.55,16.6
23200,5.1,6.02,16.6
24600,5.1,6.31,16.6
29900,5.1,6.86,16.6
37201,4.88,6.98,17.8
39799,4.88,7.76,17.8
36199,4.88,6.14,17.8
37900,4.88,7.15,17.8
32500,4.88,6.56,17.8
26399,4.88,5.6,17.8
29599,4.88,6.15,17.8
50001,4.88,7.83,17.8
32000,4.37,6.78,15.2
29801,4.37,6.56,15.2
34899,4.37,7.18,15.2
37001,4.37,6.95,15.2
30501,4.37,6.74,15.2
36399,4.37,7.18,15.2
31101,4.01,6.8,15.6
29100,4.01,6.6,15.6
50001,4.22,7.87,14.4
33300,4.04,7.29,12.6
30300,4.04,7.11,12.6
34600,4.04,7.27,12.6
34899,4.03,6.97,17
32899,4.03,7.13,17
24101,4.15,6.16,14.7
42302,4.15,7.61,14.7
48499,4.16,7.85,14.7
50001,4.16,8.03,14.7
22600,4.89,5.89,18.6
24399,4.89,6.33,18.6
22501,4.89,5.78,18.6
24399,4.89,6.06,18.6
20000,4.89,5.34,18.6
21700,4.89,5.96,18.6
19300,4.89,5.4,18.6
22400,4.89,5.81,18.6
28099,4.89,6.37,18.6
23699,4.89,5.41,18.6
24999,4.89,6.18,18.6
23300,5.5,5.89,16.4
28701,5.5,6.64,16.4
21500,5.5,5.95,16.4
23001,5.5,6.37,16.4
26699,5.07,6.95,16.4
21700,5.07,6.16,17.4
27499,5.07,6.88,17.4
30101,5.07,6.62,17.4
44802,5.04,8.27,17.4
50001,5.04,8.72,17.4
37602,5.04,8.04,17.4
31600,5.04,7.16,17.4
46700,5.04,7.69,17.4
31499,5.04,6.55,17.4
24299,5.04,5.98,17.4
31701,5.04,7.41,17.4
41702,5.07,8.34,17.4
48301,5.07,8.25,17.4
29001,5.07,6.73,17.4
24000,5.07,6.09,17.4
25099,5.07,6.63,17.4
31499,5.07,7.36,17.4
23699,4.28,6.48,16.6
23300,4.28,6.61,16.6
22000,4.28,6.9,16.6
20100,4.28,6.09,16.6
22199,4.28,6.36,16.6
23699,4.28,6.39,16.6
17600,4.31,5.59,19.1
18500,4.31,5.6,19.1
24299,4.31,6.11,19.1
20500,4.31,6.23,19.1
24499,4.31,6.43,19.1
26200,4.31,6.72,19.1
24399,4.31,6.49,19.1
24800,4.31,6.44,19.1
29599,4.31,6.96,19.1
42800,4.31,8.26,19.1
21900,3.92,6.11,16.4
20900,3.92,5.88,16.4
43998,3.94,7.45,15.9
50001,6.47,8.7,13
36001,6.47,7.33,13
30101,6.47,6.84,13
33799,6.47,7.2,13
43101,6.47,7.52,13
48801,6.47,8.4,13
30999,6.47,7.33,13
36501,6.47,7.21,13
22800,6.47,5.56,13
30699,6.47,7.01,13
50001,5.75,8.3,13
43499,5.75,7.47,13
20700,4.64,5.92,18.6
21100,4.64,5.86,18.6
25200,4.64,6.24,18.6
24399,4.64,6.54,18.6
35200,4.64,7.69,18.6
32400,4.47,6.76,17.6
32000,4.47,6.85,17.6
33200,4.47,7.27,17.6
33100,4.47,6.83,17.6
29100,4.47,6.48,17.6
35102,4.43,6.81,14.9
45401,4.43,7.82,14.9
35401,4.43,6.97,14.9
46000,4.43,7.64,14.9
